detector,filter,sample_size,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1
animal_count_1,only_elephant,1190,146,466,114,464,0.5615384615384615,0.23934426229508196,0.33563218390804594
animal_count_1,only_ostrich,356,76,54,15,211,0.8351648351648352,0.26480836236933797,0.4021164021164021
animal_count_1,only_warthog,1090,160,202,52,676,0.7547169811320755,0.19138755980861244,0.3053435114503817
animal_count_1,only_wildebeest,3057,108,2054,401,494,0.21218074656188604,0.17940199335548174,0.19441944194419442
animal_count_1,only_other,6183,597,2305,505,2776,0.5417422867513612,0.17699377408834865,0.2668156424581006
animal_count_1,multi_species,491,0,407,84,0,0.0,NaN,NaN
animal_count_1,multi_including_buffalo,18,0,16,2,0,0.0,NaN,NaN
animal_count_1,multi_including_elephant,7,0,6,1,0,0.0,NaN,NaN
animal_count_1,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_count_1,multi_including_warthog,25,0,19,6,0,0.0,NaN,NaN
animal_count_1,multi_including_wildebeest,323,0,272,51,0,0.0,NaN,NaN
animal_count_1,multi_including_none_of_the_five,124,0,100,24,0,0.0,NaN,NaN
animal_count_2,entire_dataset,50270,285,41942,6219,1824,0.04381918819188192,0.13513513513513514,0.06617903169627308
animal_count_2,daytime,368,1,295,61,11,0.016129032258064516,0.08333333333333333,0.027027027027027025
animal_count_2,nighttime,183,0,158,16,9,0.0,0.0,NaN
animal_count_2,blank,36734,0,32183,4551,0,0.0,NaN,NaN
animal_count_2,non_blank,13536,285,9759,1668,1824,0.14592933947772657,0.13513513513513514,0.14032496307237813
animal_count_2,one_animal,6172,0,5284,888,0,0.0,NaN,NaN
animal_count_2,simple,4583,285,2127,347,1824,0.4509493670886076,0.13513513513513514,0.2079533017147027
animal_count_2,complex,2781,0,2348,433,0,0.0,NaN,NaN
animal_count_2,single_species,13045,279,9403,1611,1752,0.14761904761904762,0.13737075332348597,0.14231063504208114
animal_count_2,only_buffalo,1169,26,821,153,169,0.1452513966480447,0.13333333333333333,0.1390374331550802
animal_count_2,only_elephant,1190,33,854,126,177,0.20754716981132076,0.15714285714285714,0.1788617886178862
animal_count_2,only_ostrich,356,6,252,62,36,0.08823529411764706,0.14285714285714285,0.10909090909090909
animal_count_2,only_warthog,1090,16,789,139,146,0.1032258064516129,0.09876543209876543,0.10094637223974764
animal_count_2,only_wildebeest,3057,48,2296,428,285,0.10084033613445378,0.14414414414414414,0.11866501854140915
animal_count_2,only_other,6183,150,4391,703,939,0.17584994138335286,0.13774104683195593,0.15447991761071062
animal_count_2,multi_species,491,6,356,57,72,0.09523809523809523,0.07692307692307693,0.0851063829787234
animal_count_2,multi_including_buffalo,18,2,10,1,5,0.6666666666666666,0.2857142857142857,0.4
animal_count_2,multi_including_elephant,7,1,3,0,3,1.0,0.25,0.4
animal_count_2,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_count_2,multi_including_warthog,25,1,14,2,8,0.3333333333333333,0.1111111111111111,0.16666666666666666
